Manual order,Kosambi,Mādhavānanda,Gopinath1896-img,Gopinath1914-img,Gopinath-num,SB spardha num,SB spardha text (some hyphens and spaces added),GRETIL,Ryder,Tawney n,Tawney
9,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-078.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-072.jpg,9,,,"
                kṛmi-kula-cittaṃ lālā-klinnaṃ vigandhi-jugupsitaṃ
                nirupama-rasaṃ prītyā khādan narāsthi nirāmiṣam |
                surapatim api śvā pārśvasthaṃ vilokya na śaṅkate
                na hi gaṇayati kṣudro jantuḥ parigraha-phalgutām || BharSt_1.9 ||
            ",,10,"  See that _pariah_ making off there with a filthy greasy bone,
  How he'll mumble and enjoy it when he finds himself alone!
  Not, if Indra's self reproved him, would he blush and leave his treat,
  For the mean abhor no meanness if it only yield them meat.
"
10,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-079.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-073.jpg,10,,,"
                śiraḥ śārvaṃ svargāt paśupati-śirastaḥ kṣitidharaṃ
                mhīdhrād uttuṅgād avanim avaneś cāpi jaladhim |
                adho 'dho gaṅgeyaṃ padam upagatā stokam
                athavāviveka-bhraṣṭānāṃ bhavati vinipātaḥ śatamukhaḥ || BharSt_1.10 ||
            ",,11,"  From Heaven to Siva's head, and thence to Himalaya's snows,
  To India's plain, thence to the main, the sacred Ganges flows—
  A sad descent! hut rivers go astray, like foolish men,
  From heaven's crown they tumble down and never rise again."
11,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-080.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-074.jpg,11,,,"
                śakyo vārayituṃ jalena hutabhuk cchatreṇa sūryātapo
                nāgendro niśitāgkuśena samado daṇḍena go-gardabhau |
                vyādhir bheṣaja-saṅgrahaiś ca vividhair mantra-prayogair viṣaṃ
                sarvasyauṣadham asti śāstra-vihitaṃ mūrkhasya nasty auṣadhim || BharSt_1.11 ||
            ","
                REMEDIES

                A fire with water we defeat,
                With parasols the midday heat,
                Mad elephants with goads that prick,
                Oxen and asses with a stick,
                Sickness with draughts that banish harm,
                Poison with many a spell and charm,
                Science has cures for every ill
                Except the fool; be prospers still.
            ",12,"  Water will serve to put out fire, umbrellas 'gainst the heat,
  A sharp hook guides the elephant, the ox and ass we beat,
  Disease we cure with doctor's stuff, the serpent's bite with charms,—
  Against the fool, the worst of ills, Nature provides no arms."
12,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-081.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-075.jpg,12,,,"
                sāhitya-saṅgīta-kalā-vihīnaḥ
                sākṣāt paśuḥ puccha-viṣāṇa-hīnaḥ |
                tṛṇaṃ na khādann api jīvamānas
                tad bhāga-dheyaṃ paramaṃ paśūnām || BharSt_1.12 ||
            ","
                THE BEASTS THAT DON'T EAT GRASS

                Unschooled in music, poetry, and art,
                  Man is a beast, a hornless, tailless beast;
                 He doesn't eat the grass; for this at least
                The other beasts may well be glad at heart.              
            ",13,"  Deem him who verse and music scorns
  A beast without the tail and horns;
  What though he never feed on grass,
  I hold him none the less an ass."
13,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-082.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-076.jpg,13,,,"
                yeṣāṃ na vidyā na tapo na dānaṃ
                jñānaṃ na śīlaṃ na guṇo na dharmaḥ |
                te martya-loke bhuvi bhāra-bhūtā
                manuṣya-rūpeṇa mṛgāś caranti || BharSt_1.13 ||
            ","
                BEASTS

                Men void of learning, character, and worth,
                  Religion, kindness, wisdom, piety,
                Are but a mortal burden on the earth;
                  Such men are beasts allowed to wander free.              
            ",14,"  Those slaves who neither fast nor give,
  Unjust, unthinking, idle live,
  Are beasts, though men by right of birth,
  Unwieldy burdens, cumbering earth.
"
14,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-083.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-077.jpg,14,3,"varaṃ parvatadurgeṣu bhrāntaṃ vanacaraiḥ saha |
na mūrkhajanasamparkaḥ surendrabhavaneṣvapi ||14||","
                varaṃ parvata-durgeṣu
                bhrāntaṃ vanacaraiḥ saha
                na mūrkha-jana-samparkaḥ
                surendra-bhavaneṣv api || BharSt_1.14 ||
            ","
                BETTER TO DWELL IN MOUNTAINS WILD

                Better to dwell in mountains wild
                  With beasts of prey
                Than in the palaces of gods
                  With fools to stay.
            ",15,"  I'd sooner live in mountain caves with lions, bears, and apes,
  Than dwell in Indra's heavenly halls with brainless human shapes.
"
,,,,,,,,,,16,The Praise of the Wise Man
15,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-084.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-078.jpg,15,,,"
                śāstropaskṛta-śabda-sundara-giraḥ śiṣya-pradeyāgamā
                vikhyātāḥ kavayo vasanti viṣaye yasya prabhor nirdhanāḥ |
                taj-jāḍyaṃ vasudhādipasya kavayas tv arthaṃ vināpīśvarāḥ
                kutsyāḥ syuḥ kuparīkṣakā hi maṇayo yair arghataḥ pātitāḥ || BharSt_1.15 ||
            ","
                A CONSOLATION

                If there are famous poets, fit
                  To teach the art of poesy,
                So sweetly smooth their verses flit,
                  And if they live in poverty—
              
                That shows the dullness of the king;
                  Poets, though poor, are rich in fame.
                Where gems find undervaluing,
                  Only the jeweler is to blame.              
            ",17,"  Kings in whose country tuneful bards are found
  Naked and starving, though for lore renowned,
  Are voted dullards by all men of sense;
  Poets are ever lords, though short of pence,
  And he who spurns the diamond's flawless ray
  Himself degrades, not that he flings away."
16,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-085.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-079.jpg,16,,,"
                hartur yāti na gocaraṃ kim api śaṃ puṣṇāti yat sarvadā 'py
                arthibhyaḥ pratipādyamānam aniśaṃ prāpnoti vṛddhiṃ parām |
                kalpānteṣv api na prayāti nidhanaṃ vidyākhyam antardhanaṃ
                yeṣāṃ tān prati mānam ujjhata nṛpāḥ kas taiḥ saha spardhate || BharSt_1.16 ||
            ",,18,"  Those who possess that treasure which no thief can take away,
  Which, though on suppliants freely spent, increaseth day by day,
  A source of inward happiness which shall outlast the earth—
  To them e'en kings should yield the palm, and own their higher worth.
"
17,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-086.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-080.jpg,17,,,"
                adhigata-paramārthān paṇḍitān māvamaṃsthās
                tṛṇam iva laghu lakṣmīr naiva tān saṃruṇaddhi |
                abhinava-mada-lekhā-śyāma-gaṇḍa-sthalānāṃ
                na bhavati bisatantur vāraṇaṃ vāraṇānām || BharSt_1.17 ||
            ",,19,"  Scorn not those sages who have scaled the topmost heights of truth;
  Who snap the cords of wealth like bonds of straw.
  For lotus-strings will never hold in awe
  Th' infuriate sovereign of the herd, drunk with the pride of youth.
"
18,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-087.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-081.jpg,18,,,"
                ambhojinī-vana-vihāra-vilāsam eva
                haṃsasya hanti nitarāṃ kupito vidhātā |
                na tv asya dugdha-jala-bheda-vidhau prasiddhāṃ
                vaidagdhī-kīrtim apahartum asau samarthaḥ || BharSt_1.18 ||
            ",,,
19,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-088.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-082.jpg,19,,,"
                keyūrāṇi na bhūṣayanti puruṣaṃ hārā na candrojjvalā
                na snānaṃ na vilepanaṃ na kusumaṃ nālaṅkṛtā mūrdhajāḥ |
                vāṇy ekā samalaṅkaroti puruṣaṃ yā saṃskṛtā dhāryate
                kṣīyante khalu bhūṣaṇāni satataṃ vāg-bhūṣaṇaṃ bhūṣaṇam || BharSt_1.19 ||
            ",,20,"  Neither rings, bright chains, nor bracelets, perfumes, flowers, nor well-trimmed hair,
  Grace a man like polished language, th' only jewel he should wear."
20,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-089.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-083.jpg,20,,,"
                vidyā nāma narasya rūpam adhikaṃ pracchanna-guptaṃ dhanaṃ
                vidyā bhogakarī yaśaḥ-sukhakarī vidyā gurūṇāṃ guruḥ |
                vidyā bandhujano videśa-gamane vidyā parā devatā
                vidyā rājasu pūjyate na tu dhanaṃ vidyā-vihīnaḥ paśuḥ || BharSt_1.20 ||
            ",,21,"  Knowledge is man's highest beauty, knowledge is his hidden treasure,
  Chief of earthly blessings, bringing calm contentment, fame, and pleasure;
  Friends in foreign lands procuring, love of mighty princes earning;
  Man is but a beast without it: such a glorious god is Learning.
"
21,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-090.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-084.jpg,21,,,"
                kṣāntiś cet kavacena kiṃ kim aribhiḥ krodho 'sti ced dehināṃ
                jñātiś ced analena kiṃ yadi suhṛd divyauṣadhaṃ kiṃ phalam |
                kiṃ sarpair yadi durjanāḥ kim u dhanair vidyā 'navadyā yadi
                vrīḍā cet kim u bhūṣaṇaiḥ sukavitā yady asti rājyena kim || BharSt_1.21 ||
            ","
                SUBSTITUTES

                What need of armor to the patient soul?
                What need of foes, if temper spurns control?
                If rogues are near, what need of snakes to harm you?
                If relatives, what need of fire to warm you?
                If friends, what need of magic draughts for health?
                If blameless scholarship, what need of wealth?
                If modesty, what need of gems and flowers?
                If poetry, what need of kingly powers?
            ",22,"  Better silence far than speaking,
  Worse are kinsmen oft than fire,
  There's no balm like friendly counsel,
  There's no enemy like ire,
  Rogues have keener teeth than vipers,
  Brains outweigh the miser's hoard,
  Better modesty than jewels,
  Tuneful lyre than kingly sword.
"
22,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-091.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-085.jpg,22,,,"
                dākṣiṇyaṃ svajane dayā parijane śāṭhyaṃ sadā durjane
                prītiḥ sādhujane nayo nṛpa-jane vidvaj-jane cārjavam |
                śauryaṃ śatru-jane kṣamā guru-jane kāntā-jane dhṛṣṭatā
                ye caivaṃ puruṣāḥ kalāsu kuśalās teṣv eva loka-sthitiḥ || BharSt_1.22 ||
            ",,23,"  Ever liberal to kinsmen, to the stranger ever kind,
  Ever stern to evil-doers, ever frank to men of mind,
  Ever loving to the virtuous, ever loyal to the crown,
  Ever brave against his foemen, ever honouring the gown,
  Womankind distrusting ever—such the hero I would see,—
  Such uphold the world in order; without them 't would cease to be.
"
23,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-092.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-086.jpg,23,,,"
                jāḍyaṃ dhiyo harati siñcati vāci satyaṃ
                mānonnatiṃ diśati pāpam apākaroti |
                cetaḥ prasādayati dikṣu tanoti kīrtiṃ
                sat-saṅgatiḥ kathaya kiṃ na karoti puṃsām || BharSt_1.23 ||
            ",,24,"  What blessings flow from converse with the wise!
  All dulness leaves us, truth we learn to prize;
  Our hearts expand with consciousness of worth,
  Our minds enlarge, our glory fills the earth.
"
24,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-093.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-087.jpg,24,,,"
                jayanti te sukṛtino
                rasa-siddhāḥ kavīśvarāḥ |
                nāsti yeṣāṃ yaśaḥkāye
                jarā-maraṇa-jaṃ bhayam || BharSt_1.24 ||
            ","
                A JOY FOREVER

                The poet-kings who know the art
                To touch the chord that moves the heart,
                  Secure may draw their breath;
                Far from the body of their fame apart
                  Lurk fears of age and death.              
            ",25,"  Those bards of passion who unfold
  The secrets of the heart,
  Their glory never groweth old,
  Nor feels Death's fatal dart.
"
25,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-094.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-088.jpg,25,,,"
                sūnuḥ sac-caritaḥ satī priyatamā svāmī prasādonmukhaḥ
                snigdhaṃ mitram avañcakaḥ parijano niḥkleśa-leśaṃ manaḥ |
                ākāro ruciraḥ sthiraś ca vibhavo vidyāvadātaṃ mukhaṃ
                tuṣṭe viṣṭapa-kaṣṭa-hāriṇi harau samprāpyate dehinā || BharSt_1.25 ||
            ",,26,"  A duteous son, a virtuous wife, a lord to kindness prone,
  A loving friend, a kinsman true, a mind of cheerful tone,
  A handsome shape, a well-filled purse, a soul-illumined face,
  Are theirs on whom great Hari smiles, and sheds peculiar grace.
"
26,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-095.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-089.jpg,26,,,"
                prāṇāghātān nivṛttiḥ para-dhana-haraṇe saṃyamaḥ satya-vākyaṃ
                kāle śaktyā pradānaṃ yuvati-jana-kathā-mūka-bhāvaḥ pareṣām |
                tṛṣṇā-sroto vibhaṅgo guruṣu ca vinayaḥ sarva-bhūtānukampā
                sāmānyaḥ sarva-śāstreṣv anupahata-vidhiḥ śreyasām eṣa panthāḥ || BharSt_1.26 ||
            ",,27,"  Abstinence from sin of bloodshed, and from speech of others' wives,
  Truth and open-handed largess, love for men of holy lives,
  Freedom from desire and avarice,—such the path that leads to bliss,
  Path which every sect may travel, and the simple cannot miss.
"
27,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-096.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-090.jpg,27,7,"prārabhyate na khalu vighnabhayena nīcaiḥ
prārabhya vighnavihatā viramanti madhyāḥ ||
vighnaiḥ punaḥ punarapi pratihanyamānāḥ
prārabdhamuttamajanā na parityajanti ||27||","
                prārabhyate na khalu vighna-bhayena nīcaiḥ
                prārabhya vighna-vihatā viramanti madhyāḥ |
                vighnaiḥ punaḥ punar api pratihanyamānāḥ
                prārabdham uttama-janā na parityajanti || BharSt_1.27 ||
            ",,28,"  Cowards shrink from toil and peril,
  Vulgar souls attempt and fail;
  Men of mettle, nothing daunted,
  Persevere till they prevail.
"
28,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-097.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-091.jpg,28,19,"asanto nābhyarthyāḥ suhṛdapi na yācyaḥ kṛśadhanaḥ
priyā nyāyyā vṛttirmalinamasubhaṅge:'pyasukaram |
vipadyuccaiḥ stheyaṃ padamanuvidheyaṃ ca mahatāṃ
satāṃ kenoddiṣṭaṃ viṣamamasidhārāvratamidam ||28||","
                asanto nābhyarthyāḥ suhṛd api na yācyaḥ kṛśa-dhanaḥ
                priyā nyāyyā vṛttir malinam asubhaṅge 'py asukaram |
                vipady uccaiḥ stheyaṃ padam anuvidheyaṃ ca mahatāṃ
                satāṃ kenoddiṣṭaṃ viṣamam asidhārā-vratam idam || BharSt_1.28 ||
            ",,29,"  Not to swerve from truth or mercy, not for life to stoop to shame;
  From the poor no gifts accepting, nor from men of evil fame;
  Lofty faith and proud submission,—who on Fortune's giddy ledge
  Firm can tread this path of duty, narrow as the sabre's edge?
"
,,,,,,,,,,30,The Praise of Self-respect and Valour
29,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-098.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-092.jpg,29,13,"kṣutkṣāmo:'pi jarākṛśo:'pi śithilaprāṇo:'pi kaṣṭāṃ daśām
āpannopi vipannadīdhitirapi prāṇeṣu naśyatsvapi |
mattebhendravibhinnakumbhakavalagrāsaikabaddhaspṛhaḥ
kiṃ jīrṇaṃ tṛṇamatti mānamahatāmagresaraḥ kesarī ||29||","
                kṣut-kṣāmo 'pi jarā-kṛśo 'pi śithila-prāṇo 'pi kaṣṭāṃ daśām
                āpanno 'pi vipanna-dīdhitir iti prāṇeṣu naśyatsv api |
                mattebhendra-vibhinna-kumbha-piśita-grāsaika-baddha-spṛhaḥ
                kiṃ jīrṇaṃ tṛṇam atti māna-mahatām agresaraḥ kesarī || BharSt_1.29 ||
            ",,31,"  Worn with hunger, faint and feeble, shorn of glory and of power,
  Still the king of beasts is kingly, even to his dying hour;
  Will he graze on hay like oxen ? No, he longs to meet once more
  Tusk-armed elephants in battle, and to drink their spouting gore."
30,,,https://calm-gaufre-6360e8.netlify.app/gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-099.jpg,https://calm-gaufre-6360e8.netlify.app/gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-093.jpg,30,14,"svalpasnāyuvasāvaśeṣamalinaṃ nirmāṃsamapyasthikaṃ
śvā labdhvā paritoṣameti na tu tattasya kṣudhāśāntaye |
siṃho jambukamaṅkamāgatamapi tyaktvā nihanti dvipaṃ
sarvaḥ kṛcchragato:'pi vāñchati janaḥ satvānurupaṃ phalam ||30||","
                svalpa-snāyu-vasāvaśeṣa-malinaṃ nirmāṃsam apy asthi goḥ
                śvā labdhvā paritoṣam eti na tu tat tasya kṣudhā-śāntaye |
                siṃho jambukam aṅkam āgatam api tyaktvā nihanti dvipaṃ
                sarvaḥ kṛcchra-gato 'pi vāñchanti janaḥ sattvānurūpaṃ phalam || BharSt_1.30 ||
            ",,32,"  Fling a dry and gristly cow's-bone to a low-bred cur to gnaw,
  Straight he wags his tail delighted, though it cannot fill his maw.
  Lions spare the prostrate jackal, but the forest monarchs smite,
  E'en by fortune pressed the valiant scorns to waive his proper right."
