Telang,,Kosambi,Tawney
N033,कुसुमस्तबकस्येव,34,"  Two paths are open to the proud,
    As to the woodland flowers,
  Which flourish high above the crowd,
    Or wither in the bowers."
N034,सन्त्यन्येपि बृहस्पतिप्रभृतयः,53,"  Rahu spares the lesser planets
    As unworthy of his might,
  But he wreaks his lawful vengeance
    On the lords of day and night."
N035,वहति भुवनश्रेणीं,73,"  On his hood the serpent Sesha doth this triple world uphold,
  On the broad back of the tortoise he lies stretched in many a fold,
  On the ocean's breast the tortoise like a speck eludes the sight:
  Who in thought can limit greatness, or set bounds to Nature's might?"
N036,वरं पक्षच्छेदः,321,"  Better had the mount Mainaka borne the brunt of Indra's ire,
  Than thus plunged beneath the ocean severed from his sorrowing sire:
  Though he saved unharmed his pinions from the blazing thunder-stone,
  Yet he mourns amid the waters for his self-abandoned throne."
N037,यदचेतनोऽपि पादैः,65,"  The sun-gem touched by Heaven's rays,
  Though void of sense, is all ablaze;
  How then can men of spirit brook
  A fellow-mortal's scornful look?"
N038,सिंह : शिशुरपि,75,"  A lion's whelp will boldly face th' earth-shaking monarch's rage,
  For valour dwells in valourous kind, without regard of age."
N038~H,इति मानशौर्यप्रशंसा ।,,
,,,On Wealth
N039,जातिर्यातु रसातलं,25,"  Down to the lowest pit with rank, and gifts that all admire;
  Hurl virtue headlong from the steep, burn pedigrees with fire;
  On valour let the bolt descend: for wealth alone we pray,
  Without which noble qualities are vile as mouldy hay."
N040,तानीन्द्रियाणि,512,"  With mind and senses unimpaired,
    In act and voice the same,
  He moves among us like a ghost,
    Wealth's warmth has left his frame."
N041,यस्यास्ति वित्तं,51,"  The man of means is eloquent,
    Brave, handsome, noble, wise;
  All qualities with gold are sent,
    And vanish when it flies."
N042,दौर्मन्त्र्यान्नृपतिर्विनश्यति,23,"  The king by evil counsel falls,
    By worldliness the saint,
  Brahmans by want of sacred lore,
    Bad friends good manners taint;
  Indulgence spoils a son, and he
    Upon his race brings shame,
  Continual absence poisons love,
    Neglect cools friendship's flame;
  Carelessness ruins husbandry,
    Wrong saps a nation's health,
  Wine chases modesty, unthrift
    And largess squander wealth."
N043,दानं भोगो नाशस्तित्रो,50,"  Three courses open lie to wealth, to give, enjoy, or lose,
  Who shrinketh from the former two, perforce the third doth choose."
N044,मणिः शाणोलीढः,11,"  Less in size the polished jewel, but its rays far brighter gleam,
  Who regrets the dwindling sandbanks when boon autumn swells the stream?
  Glorious we hold the victor, though his life-blood gild the plain,
  Such the generous soul's undoing, that which seemeth loss is gain."
N045,परिक्षीणः कश्चित्स्पृहयति,12,"  Lo! the same man who longs for a handful of meal
    As a treasure of infinite worth,
  When his hunger is sated, esteems not a straw
    All the riches and glories of earth;
  Hence this moral we draw—in this transient world
    Nothing 's trifling or great in itself,
  'Tis the mind that projects its own hues on the mass,
    Now 'tis gold, now 'tis counted but pelf."
N046,राजन्दुधुक्षसि यदि,58,"  King, if thou wish the earth to yield to thee the milk of wealth,
  Cherish its offspring, let thy care be for thy people's health;
  For if thou watch to do them good with seldomsleeping eyes,
  Thy realms with golden fruits shall bloom like trees of Paradise."
N047,सत्यानृता च,59,"  Grasping and bountiful, cruel and kind,
  Savage and merciful, watchful and blind,
  Truthful and treacherous, policy's art
  Changeth its shape as an actress her part."
N048,आज्ञा कीर्तिः,66,"  Fame, might, the power to give and spend,
  To nourish Brahmans, help a friend,
  These blessings are a courtier's lot;
  What boots his toil who gains them not?"
N049,यद्धात्रा निजभालपट्टलिखितं,56,"  Fate writes upon thy brow at birth the limits of thy store,
  In barren wilds, on Meru's peak, 'tis neither less nor more;
  Then cringe thou not to wealthy men, but let thy looks be free,
  A pitcher from a pool is filled, as well as from the sea."
N050,त्वमेव चातकाधारोसीति,521,"  Well spake the _châtak_ to the cloud,
    "" By thee alone we live,
  This all men know, then why require
    Our prayers before thou give?"""
N051,रे रे चातक सावधानमनसा,721,"  O _châtak_, listen but a while, and to my speech give ear—
  Not all alike the clouds that on the face of heaven appear,
  Some fertilize the earth with showers, some fruitless thunders hurl:
  This lesson learn—a suppliant speech is wasted on the churl."
N051~H,अथ दुर्जनप्रशंसा |,,The description of the Wicked Man
N052,अकरुणत्वमकारणविग्रहः,61,"  A cruel mind intent on strife,
  Envying his neighbour's gold and wife,
  Hating the virtuous and his kin,
  Denotes and brands the man of sin."
N053,दुर्जनः परिहर्तव्यो,27,"  What though the scoundrel learned be, avoid him, cut him dead:
  Men shudder at the snake that wears a jewel in his head."
N054,जाड्यं हीमति गण्यते,24,"  The modest man's accounted dull, the pure a prudish knave,
  Th' austere a sour-faced hypocrite, the meek a heartless slave,
  The orator is tedious, the ascetic but a fool,
  The dignified is haughty, stolid and obtuse the cool,
  The hero savage; thus the bad do all things good despise,
  Each virtue with its kindred vice is tainted in their eyes."
N055,लोभश् चेदगुणेन किं,37,"  Treachery is of crimes the blackest,
    Avarice is a world of vice,
  Truth is nobler far than penance,
    Purity than sacrifice.
  Charity's the first of virtues,
    Dignity doth most adorn,
  Knowledge triumphs unassisted,
    Better death than public scorn."
N056,शशी दिवसधूसरो,10,"  The moon when dimmed by daylight, and a maid whose charms have fled,
  A lake with faded lotuses, a good man ill bested,
  A speechless mouth, a grasping king, a scoundrel in his train,
  Are seven thorns that fret my soul with neverending pain."
N057,न कश्चिच्चण्डकोपानामात्मीयो,60,"  I would not be the kinsman of a monarch prone to ire,
  Not e'en the sacrificing priest unharmed can touch the fire."
N058,मौनान्मूकः प्रवचनपटुचाटुलो,35,"  Not e'en a wonder-working saint
    Can hope to please the great,
  The silent man is said to sulk,
    The eloquent to prate,
  Patience is held but cowardice,
    Impatience disrespect,
  Officiousness is impudence,
    And modesty neglect."
N059,उद्भासिताखिलखलस्य,69,"  Those do not lead an easy life who fall into the power
  Of one in whom the seed of vice matures in perfect flower,
  Who with a herd of fawning rogues delights t' engird his throne,
  Whose lawless will no bonds of faith nor ties of blood doth own."
N060,आरम्भगुर्वी क्षयिणी क्रमेण,62,"  The kindness of the bad at first
    Is great, and then doth wane;
  The good man's love, at th' outset small,
    Slowly doth bulk attain;
  Such difference between these two
    In nature doth abide,
  As 'twixt the shadow of the morn
    And that of eventide."
N061,मृगमीनसज्जनानां,32,"  Hunters entrap the harmless deer,
    Fishers the finny brood,
  So bad men causeless interfere
    To persecute the good."
N061~H,इति दुर्जनप्रशंसा |,,
N061~H,अथ सुजनप्रशंसा ।,,The Praise of the Good Man
N062,वाञ्छा सज्जनसंगमे,43,"  All-hail to those who love the good,
    And sinful men eschew,
  Who honour their religious head,
    And sacred lore pursue,
  Who undisturbed their neighbours' wives
    And neighbours' merits view,
  Who firm on Siva fix their faith,
    And vain desires subdue!"
N063,विपदि धैर्यमथाभ्युदये,14,"  Firmness when fall'n on evil days, restraint when fortune smiles,
  Courage to look with steady eye on war's embattled files,
  Persuasive speech in council, and a burning thirst for fame,
  Joined with a love of holy writ, th' heroic soul proclaim."
N064,प्रदानं प्रच्छनं,275,"  Alms to bestow in secret, and the houseless wanderer feed,
  To hide one's own and loud proclaim another's kindly deed,
  Humbly to bear prosperity, and mourn with those who weep—
  Behold a vow which all the saints as yet have failed to keep!"
N065,करे श्लाघ्यस् त्यागः,72,"  Charity best adorns the hand
    And reverence the head,
  Truth is the virtue of the mouth
    In th' ears is scripture read,
  Valour lends glory to the arms,
    Contentment calms the heart,
  Thus lofty souls, though poor, are decked
    With grace in every part."
N066,संपत्सु महतां चित्तं,335,"  In times of joy the hero's soul
    Is soft as lotus-flower,
  But when misfortune's billows roll
    Stands stiff as granite tower."
N067,संतप्तायसि संस्थितस्य पयसो,33,"  Raindrops on heated iron flung dissolve in airy steam,
  The same on lotus-leaflets hung like rows of diamonds gleam,
  In sea-shells, if Arcturus shine, they harden into pearl,—
  E'en so doth intercourse refine and elevate the churl."
N068,यः प्रीणयेत्सुचरितैः,279,"  He only can be called a son who gratifies his sire,
  She only is a wife who doth to please her lord aspire,
  He only is a friend who bides the same in weal and woe,—
  These blessings three the righteous gods on virtuous men bestow."
N069,नम्रत्वेनोन्नमन्तः परगुणकथनैः,36,"  The world conspires to honour those
    Who rise by gentle arts,
  Who show their own heroic strain
    By praising others' parts,
  Who patiently reproaches bear,
    Nor scorned revile again,
  Who still to selfish ends prefer
    The good of other men."
N069~H,इति सुजनप्रशंसा |,,
N069~H,अथ परोपकारपद्धतिः ।,,The Path of Altruism
N070,भवन्ति नम्रास्तरवः फलोद्गमै,63,"  Trees are bowed down with weight of fruit,
    Clouds big with rain hang low,
  So good men humbly bear success,
    Nor overweening grow."
N071,श्रोत्रं श्रुतेनैव न कुण्डलेन,54,"  No earrings deck the good man's ears, which still on scripture feed;
  His hands, still open to the poor, no golden bracelets need;
  The perfume of his kindly acts, like flowers in leaves concealed,
  Exceeds the fragrant scent which nard and sandal unguents yield."
N072,पापान् निवारयति योजयते हिताय,31,"  He brings thee joy, thy foes dismays,
  Thy secrets hides, proclaims thy praise,
  With timely gifts relieves thy need,
  Thus may'st thou know the ""friend indeed."""
N073,पद्माकरं दिनकरो,64,"  The sun awakes the lotus-bower,
  The moon cheers up her favourite flower,
  The cloud unasked its rain bestows,
  Self-moved the good man's bounty flows."
N074,एके सत्पुरुषाः परार्थघटका,221,"  Some generous souls forbear their own, and seek another's gain;
  Most men, neglecting not their own, their neighbour's cause maintain;
  Those are mere demons who would build their wealth on other's loss,
  But what are those who profitless their neighbour's interest cross?"
N075,क्षीरेणात्मगतोदकाय,28,"  Milk to the water with it mixed its native virtues gave,
  Which, pitying sore its tortured friend, rushed on a flaming grave;
  The milk, unwilling to be left, must share its fellow's fate,—
  True friendship envy cannot reach, nor fiery pains abate!"
N076,इतः स्वपिति केशवः,20,"  Here Vishnu sleeps, and there his foes,
  Yonder the suppliant hills repose,
  Here lurk the quenchless fires of doom,—
  Ocean's broad breast for all hath room."
N077,तृष्णां छिन्धि भज,44,"  Subdue desire, and vanquish pride,
    Bear scorn, in wrong take no delight,
  Speak truth, for sages' wants provide,
    And follow still the path of right,
  Honour the worthy, love thy foes,
    Hide thy own virtues, cheer the faint,
  Pursue renown till life doth close,
    Such conduct marks the perfect saint."
N078,मनसि वचसि काये,19,"  How few there are in mind and speech and body free from stain,
  Who fill with linked benefits earth, heaven, and Pluto's reign,
  Who, telling others' virtuous acts, small grains to hills increase,
  In whose unruffled soul expands the flower of sinless peace!"
N079,किं तेन हेमगिरिणा,454,"  Nor Meru nor Himâdri's heights adore,
  Where trees are simply trees and nothing more,
  For Malaya's nobler mount thy praises keep,
  Whose woods sweetgums and odorous balsams weep."
N079~H,इति परोपकारः ।,,
N079~H,अथ धैर्यप्रशंसा ।,,The Praise of firmness
N080,रत्नैर्महा,52,"  The gods with priceless jewels were not bought,
  Nor with the poison-chalice made aghast,
  Nor ceased until they held the nectar fast,
  The firm forsake not what they once have sought."
N081,क्वचिद्भूमौ,21,"  Sleeping sometimes upon the ground, sometimes on gorgeous bed,
  Sometimes with simple herbs content, sometimes on dainties fed,
  One moment clothed in rags, anon ruffling in gallant show,
  The hero, following still his end, recks not of joy or woe."
N082,ऐश्वर्यस्य विभूषणं,41,"  Mercy's the ornament of power, of courage courteous rede,
  Of learning modesty, of wealth bounty to those that need,
  Of hermits gentleness and truth, longsuffering of a king,
  Of all men virtuous character, whence all these glories spring."
N083,निन्दन्तु नीतिनिपुणा,265,"  Let cunning statesmen praise or blame,
    Let Fortune turn or go her way,
  Come instant death, or lingering shame,
    Firm souls from virtue will not stray."
N084,भग्नाशस्य,26,"  A snake lay helpless in the box pining for lack of meat,
  A rat by night gnaws through the side, and yields his foe a treat,
  With strength recruited then the snake by that same hole escapes,—
  Behold how vain our efforts are! Fate all our fortune shapes."
N085,पातितोपि,270,"  Flung down with force, the higher springs the ball,
  So good men rise victorious from their fall."
N086,आलस्यं हि मनुष्याणां,216,"  Sloth is the foe that makes our souls his lair,
  Vigour the friend that saves us from despair."
N087,छिनोपि रोहति तरुः,246,"  The moon her wasted orb renews,
    The tree when pruned puts forth fresh leaf,
  Th' afflicted sage this course pursues,
    Nor yields to unavailing grief."
N087~H,इति धैर्यप्रशंसा |,,
N087~H,अथ देवप्रशंसा ।,,The Praise of Destiny
N088,नेता यस्य बृहस्पतिः प्रहरणं,49,"  Under Vrihaspati's own eyes
    Entrenched on heaven's height
  Wielding th' artillery of the skies,
    Followed by gods in fight,
  Indra, in spite of all his skill,
    Has seen his host give way;
  Strength nought avails.—To whom she will
    Fortune assigns the day."
N089,कर्मायत्तं फलं पुंसां,228,"  Our fates, our minds, depend on deeds
  Done in the soul's career,
  But each can gain the wit he needs
  By careful conduct here."
N090,खल्वाटो दिवसेश्वरस्य,39,"  A bald man felt the sun's fierce rays
    Scorch his defenceless head,
  In haste to shun the noontide blaze
    Beneath a palm he fled:
  Prone as he lay, a heavy fruit
    Crashed through his drowsy brain:
  Whom fate has sworn to persecute
    Finds every refuge vain."
N091,शशिदिवाकरयोग्रहपीडनं,240,"  When sun and moon eclipsed I see,
    And elephants in bonds,
  And wise men vexed with poverty;
    I own, my soul desponds."
N092,सृजति तावदशेषगुणाकरं,342,"  No wonder sages figure Fortune blind;
  She first creates a hero to her mind,
  Whom all men own the glory of the age,
  Then breaks her model in her childish rage."
N093,पत्रं नैव यदा करीरविटपे,590,"  If thorns and briars bear no leaves we do not blame the Spring,
  Nor yet the sun, if blinking owls fly not till evening.
  That _châtaks_ gape in vain for showers is not the cloud's disgrace;
  Fate's sentence written on the brow no hand can e'er efface."
N093~H,इति दैवप्रशंसा |,,
N093~H,अथ कर्मप्रशंसा |,,The Praise of Works
N094,नमस्यामो देवान्,22,"  Why honour gods, who must submit to Fate,
    Or Fate, who gives but what our deeds have won?
  Upon our deeds alone depends our state
    By these exalted, as by these undone."
N095,ब्रह्मा येन कुलालवन्नियमितो,285,"  Mighty are works, which Brahmâ's self confined within the egg,
  Which forced e'en Siva, skull in hand, from house to house to beg,
  Made Vishnu through ten tedious births his deity disguise,
  Which daily bind th' unwilling sun to wander through the skies!"
N096,नैवाकृतिः फलति नैव,40,
N097,वने रणे शत्रुजलाग्निमध्ये,46,"  Our merits in a former life
    Preserve us in the midst of foes,
  In woods, flood, fire, in peace and strife,
    On ocean waves, and mountain snows."
N098,या साधूंश् च खलान् करोति,29,"  Kindness can turn the bad man's heart, and fools convert to wise,
  Make poison into nectar-juice, and friends of enemies,
  Bring distant objects near: then strive that talisman to gain,
  Nor set thy heart on glorious gifts acquired with endless pain."
N099,गुणवदगुणवद् वा,45,"  Before he act, the man of sense
  Looks forward to the consequence,
  For heedless acts infix a dart,
  That rankles in the tortured heart."
N100,स्थाल्यां वैडूर्यमय्यां,343,"  In emerald vessels tallow boil,
    And light the fire with spice,
  With golden ploughs turn up the soil
    And then sow worthless rice,
  Thus wiser far than if thou spend
    An easy life on earth;
  Since all things must on works depend,
    Why throw away thy birth?"
N101,मज्जत्वम्भसि,48,"  What though we climb to Meru's peak, soar birdlike through the sky,
  Grow rich by trade, or till the ground, or art and science ply,
  Or vanquish all our earthly foes, we yield to Fate's decree,
  Whate'er she nills can ne'er take place, whate'er she wills must be."
N102,भीमं वनं भवति,47,"  Whoe'er of merit hath a plenteous store,
  Will savage woods a glorious city find,
  With gold and gems abounding every shore,
  All regions blissful and all people kind."
N102~H,इति कर्मप्रशंसा |,,
N102~H,अथ प्रत्यन्तरे श्लोकाः ।,,Some verses of an opposite tendency
N103,को लाभो गुणिसंगमः,468,"  What is the use of living with the wise?
  As well be friends with those that truth despise.
  Who loses time suffers no loss at all,
  Who justly deals shall find his profit small,
  Count him no hero who his sense subdues,
  A virtuous wife's no blessing one should choose,
  Knowledge is not a jewel men retain,
  And sovereign sway's a burden on the brain."
N104,मालतीकुसुमस्येव,34,
N105,अप्रियवचनदरिद्रः,206,"  Once in a way the earth is blessed
  With one who breaks no bitter jest,
  But kindly speaks and all commends,
  Faithful to kinsmen, wife, and friends."
N106,कदर्थितस्यापि हि धैर्यवृत्तेर्,226,"  Though scorned the man of constant soul
  Preserves unchanged his self-control,
  In vain men trample on the fire,
  For upward still its flames aspire."
N107,कान्ताकटाक्षविशिखा,230,"  That hero whose obdurate breast is steeled
    'Gainst sidelong shafts of love and anger's fire,
    Nor devious drawn with cords of vain desire,
  Might stand against three worlds in open field."
N108,एकेनापि हि शूरेण,220,
N109,वह्निस्तस्य जलायते जलनिधिः,324,"  Whoe'er with gentle nature charms
  The world, all hurtful things disarms,
  Finds flames as mountain streamlets cool,
  And ocean calm as summer pool,
  The lion as the roe-deer meek,
  Mount Meru but a tiny peak,
  A cobra but a wreath of flowers,
  And poison-draughts like nectar-showers."
N110,लज्जागुणौघजननीं,318,"  Great-hearted men would sooner part with life
    Than honour, as their mother ever dear,
    To which in evil days they still adhere,
  Nor wage with self-respect unholy strife."
N110~H,MISCELLANEOUS.,,Some Miscellaneous Stanzas
N111,अग्राह्यं हृदयं यथैव वदनं,259,"  A woman's heart is like a glass, reflecting every face,
  Her secret thoughts, like mountain paths, are difficult to trace,
  Her fancy wavers, like the dew which lotus-leaves enclose,
  Her faults, like deadly Upas-buds, develop as she grows."
N112,अभिमुखनिहतस्य,208,"  Who falls in sight of either host
    Upon th' ensanguined plain,
  Though victory and heaven be lost,
    From both sides praise doth gain."
N113,इयत्येतस्मिन्वा,412,"  The Boar's and Râhu's  mighty deeds our reverence command;
  The one upheld with gleaming tusks the sea-o'erwhelmed land;
  The other, sorely maimed in fight, while head and throat remain,
  Makes shift to swallow still the foes he must release again."
N114,उदन्वच्छन्ना भूः स च निधिरपां,219,"  The land is limited by sea, the sea its bounds must keep,
  The ever-wandering orb of day measures heaven's trackless deep;
  All things are fettered and restrained, except the sage's mind,
  Which springs beyond the bourn of death, and ranges unconfined."
N115,एको देवः केशवो वा शिवो वा,223,"  Between Vishnu and Siva there's nothing to choose,
  Be thy home but a cave, it will serve thee as well,
  Man in woods and in deserts the same course pursues,
  And a friend's but a friend in a court or a cell."
N116,कमठकुलाचलदिग्गजफणिपतिविधृतापि,528,"  By tortoise, hills, and king of snakes
  Upheld and poised, earth's centre shakes;
  Men of firm faith and constant soul
  Swerve not, while endless ages roll."
N117,कि कूर्मस्य भरव्यथा,232,"  Does not the tortoise feel the load he bears without complaint?
  Is not the flaming lord of day with ceaseless wandering faint?
  Are not good men though sore distressed ashamed their troth to break?
  Great spirits love to carry through whate'er they undertake."
N118,को न याति,467,"  Cymbals to harmonize their tone,
  Must first with flour be fed;
  So he can call all bards his own
  Who fills their mouths with bread."
N119,क्षुद्राः सन्ति सहस्रशः,471,"  The mean pursue a thousand ways to satisfy their greed,
  But he will ne'er be chief of saints whose gain's his highest meed,
  The Aurva-fire drinks up the sea to still its craving maw,
  The cloud, to cheer a thirsty world, the waves doth upward draw."
N120,दूरादर्थं घटयति नवं,260,"  Hard fate to minister and bard assigned,
  One must new turns and one new taxes find;
  By honeyed language both aspire to climb,
  This slowly builds his power, and that his rhyme;
  A captious public both must toil to please,
  And part unthanked with liberty and ease."
N121,दैवेन प्रभुणा स्वयं जगति,261,"  Though fortune shower her blessings everywhere,
    But few will reach the poor man's lowly head;
    Though rain-clouds all day long their treasures shed,
  Three drops at most reward the _châtak's_ prayer."
N122,परिचरितव्याः सन्तो यद्यपि,596,"  A man should reverence the sage,
    Not only when he gives advice,—
  The random words of prudent age,
    If rightly weighed, are pearls of price."
N123,कन्दुकपातेनोत्पतत्यार्यः,276,"  The good man, like a bounding ball,
  Springs ever upward from his fall;
  The wicked falls like lump of clay,
  And crumbles into dust away."
N124,यदि नाम दैवगत्या जगदसरोजं,307,"  What though by some untoward fate no lotus on the lake be born,
  The swan will ne'er, like barndoor fowl, rake in the dust for grains of corn."
N125,यन्नागा मदभिन्नगण्डकरटास्तिष्ठन्ति निद्रालसा,310,
N126,ये संतोषसुखप्रमोदमुदिवास्तेषां,314,"  The heart of the contented man enjoys perpetual peace,
  The covetous pine with lust of wealth; their cravings never cease;
  Not Meru's peak, of gold entire, can captivate my soul,
  Let him, who likes it, clamber up and carry off the whole."
N127,रक्तवं कमलानां सत्पुरुषाणां,702,"  From nature comes the lotus' rosy hue,
  By nature good men others' good pursue,
  And cruel men have cruel ends in view."
N128,वचो हि सत्यं परमं विभूषणं,739,"  Truth is the ornament of all mankind,
  Slim elephants delight the keeper's mind,
  Learning and patience are a Brahman's boast,
  Each creature's highest good becomes it most."
N129,वरं तुच्छृङ्गाद्गुरुशिखरिणः,322,"  Better to fall from mountain height,
    And dash thy life out on the plain,
  Better th' envenomed serpent's bite,
    Better the death in fiery pain,
  Than once to swerve from virtue's path,
    Which they who lose ne'er find again."
