,Mādhavānanda,Kosambi
10,"आशा नाम नदी मनोरथजला तृष्णातरङ्गाकुला
        रागग्राहवती वितर्कविहगा धैर्यद्रुमध्वंसिनी ।
मोहावर्तसुदुस्तरातिगहना प्रोत्तुङ्गचिन्तातटी
तस्या: पारगता विशुद्धमनसो नन्दन्ति योगीश्वरा: ।।१०।।
10. Hope is like a flowing river of which the ceaseless desires constitutes the waters; it rages with the waves of keen longings, and the attachments for various objects are its animals of prey; scheming thoughts of greed are the aquatic birds that abound on it, and it destroys in its course the big trees of patience and fortitude; it is rendered impassable by the whirlpools of ignorance, and of profound depth of bed as it is, its banks of anxious deliberation are precipitous indeed. Such a river the yogīs of pure mind pass across to enjoy supreme felicity.",173
11,"न संसारोत्पन्नं चरितमनुपश्यामि कुशलं
        विपाक: पुण्यानां जनयति भयं मे विमृशत: ।
महद्भि: पुण्यौघैश्चिरपरिगृहीताश्च विषया
महान्तो जायन्ते व्यसनमिव दातुं विषयिणाम् ।।११।।
11. I do not find the virtuous distinction produced (by ceremonial observances) through life after life to be conducive to well-being, for the sum of such virtuous merits when weighed in mind inspires fear in me. Enjoyments earned by great accession of merit, multiply so greatly in the case of people attached to them, only to bring them misery and peril!

[विपाक: पुण्यानां etc.—The idea is to show the futility of good deeds performed in our earthly life with the object of enjoying happiness in heaven or higher lokas, for the heavenly enjoyments are transitory as being the result produced by our virtuous merits; when the force of these merits is spent, the enjoyments must cease and the soul will again be drawn back to the cycle of births and deaths, until by jñāna or spiritual illumination, it attains mokṣa or final release from the wheel of transmigration.
व्यसनमिव दातुं —It indicates that the enjoyment of pleasures in heavens binds still more fetters on us by increasing our thirst and hence is the cause of an added volume of miseries.]
",263
12,"अवश्यं यातारश्चिरतरमुषित्वापि विषया 
वियोगे को भेदस्त्यजति न जनो यत् स्वयममून् ।
व्रजन्त: स्वातन्त्र्यादतुलपरितापाय मनस:
स्वयं त्यक्ता ह्येते शमसुखमनन्तं विदधति ।।१२।।
12. The objects of enjoyment, even after staying with us for a long time, are sure to leave us sometime; then what difference does their privation in this way make to men, that they do not of their own accord discard them? If the enjoyments leave us on their own initiative, i.e., if they tear themselves from us, they produce great affliction of the mind; but if men voluntarily renounce them, they conduce to the eternal bliss of self-possession.",157
13,"ब्रह्मज्ञानविवेकनिर्मलधिय: कुर्वन्त्यहो दुष्करं
        यन्मुञ्चन्त्युपभोगभाञ्ज्यपि धनान्येकान्ततो नि:स्पृहा: ।
संप्राप्तान्न पुरा न संप्रति  न च प्राप्तौ दृढप्रत्यया-
न्वाञ्छामात्रपरिग्रहानपि परं त्यक्तुं न शक्ता वयम् ।।१३।।

13. Ah! It must be indeed a difficult feat which persons, with their minds purified by the discrimination arising from the knowledge of Brahman, accomplish, in that, free from desire, they wholly discard that wealth which has been actually bringing them enjoyment; whereas we fail to renounce enjoyments which are reaped by us as mere longings and which we never did realize in the past, nor do we realize now, nor can we count upon as lasting when obtained (in future).",283
14,"        धन्यानां गिरिकन्दरेषु वसतां ज्योति: परं ध्यायता-
                मानन्दाश्रुकणान्पिबन्ति शकुना नि:शङ्कमङ्केशया: ।
        अस्माकं तु मनोरथोपरचितप्रासादवापीतट-
                क्रीडाकाननकेलिकौतुकजुषामायु: परं क्षीयते ।।१४।।

14. Blessed are those who live in mountain caves meditating on Brahman, the Supreme Light, while birds devoid of fear perch on their laps and drink the tear-drops of bliss (that they shed in meditation); while our life is fast ebbing away in the excitement of revelry in palatial mansions or on the banks of refreshing pools or in pleasure-gardens, all created (and brooded over) merely by imagination.

[शकुना नि:शङ्कमङ्केशया:—The birds have approached them fearlessly, because they have reached the state of tranquility and harmlessness, realizing the oneness of life.]",196
15,"        भिक्षाशनं तदपि नीरसमेकवारं
                शय्या च भू: परिजनो निजदेहमात्रम् ।
        वस्त्रं विशीर्णशतखण्डमयी च कन्था
                हा हा तथापि विषया न परित्यजन्ति ।।१५।।

15. For food, (I have) what begging brings and that too tasteless and once a day; for bed, the earth, and for attendant the body itself; for dress, (I have) a worn out blanket made up of a hundred patches! And still, alas! the desires do not leave me!

[विषया—Objects of desires haunting the mind.]",158
16,"स्तनौ मांसग्रन्थी कनककलशावित्युपमितौ
मुखं श्लेष्मागारं तदपि च शशाङ्केन तुलितम् ।
स्रवन्मूत्रक्लिन्नं करिवरशिर:स्पधिर् जघनं
मुहुनिर्न्द्यं रूपं कविजनविशेषैर्गुरु कृतम् ।।१६।।

16. मांसग्रन्थी—Lumps of flesh (dual number). कनककलशा­वित्युपमितौ—(become) golden jugs in (poets’) comparison. श्लेष्मागारम्—seat of phlegm, saliva, etc. शशाङ्केन तुलितम्—is compared to the moon. करिवरशिर:स्पधिर्—claiming likeness with the ele­phant’s forehead. मुहुनिर्न्द्यं रूपं etc.—form deserving constant contempt has been magnified (in praise) by certain poets.",159
17,"एको रागिषु राजते प्रियतमादेहार्धहारी हरो
        नीरागेषु जनो विमुक्तललनासङ्गो न यस्मात्पर: ।
दुर्वारस्मरबाणपन्नगविषव्याविद्धमुग्धो जन:
        शेष: कामविडम्बितान्न विषयान्भोक्तुं न मोक्तुं क्षम: ।।१७।।
17. Among sensual persons, Śiva  is unique, sharing half His body with His beloved; and again, among the dispassionate, there is none superior to Him, unattached to the company of women; while the rest of mankind, smitten and stupefied by the irresistible, serpent-like poisoned arrows of Cupid, and brought under the infatuation of Love, can neither enjoy their desires nor renounce them at will.
[प्रियतमादेहार्धहारी —This refers to the symbolic representation of Śiva and Gaurī in a single divided form.
                        On one side grows the hair in long and black curls,
                        And on the other, corded like rope;
                        One side is white with ashes, like the snow-mountains,
                        The other golden as the light of the dawn.
                        For He, the Lord, took a form,
                        And that was a divided form,
                        Half-woman and half-man.
भोक्तुं न मोक्तुं क्षम: —Ordinary persons, when they give them­selves up to enjoyments, lose all control and become slaves to them; so even when satiety comes, they cannot detach themselves from them, as the force of blind attachment has enslaved them. But Śiva, who has subdued His mind, is unaffected by them, as in His state of mental poise of yoga, pleasure and pain are the same to Him.]",224
18,"अजानन्दाहात्म्यं पततु शलभस्तीव्रदहने
	स मीनोऽप्यज्ञानाद्वडिशयुतमश्नातु पिशितम् ।
विजानन्तोऽप्येते वयमिह विपज्जालजटिला-
	न्न मुञ्चाम: कामानहह गहनो मोहमहिमा ।।१८।।
18. Without knowing its burning power the insect jumps into the glowing fire; the fish through ignorance eats the bait attached to the hook; whereas we, even though having full discernment, do not renounce the sensual desires, complicated as they are with manifold dangers. Alas, how inscrutable is the power of delusion!",160
19,"                                तृषा शुष्यत्यास्ये पिबति सलिलं शीतमधुरं
                                        षुधार्त: शाल्यन्नं कवलयति मांसादिकलितम् ।
                                प्रदीप्ते कामाग्नौ सुदृढतरमालिङ्गति वधूं
                                        प्रतीकारं व्याधे: सुखमिति विपर्यस्यति जन: ।।१९।।
                        19. When the mouth is parched with thirst, man takes some cold refreshing (or sweetened) drink; when suffering from hunger he swallows boiled rice made delicious with meat and the like; when set on fire by lust, he fast embraces his wife; so happiness is but remedying these diseases (of hunger, thirst and lust); and behold, how man (i.e., his sense) is upset in its quest!
                        [प्रतीकारं व्याधे: सुखमिति—The main point to be understood is that worldly happiness is but the temporary remedy we constantly seek for all the diseases with which worldly life is beset. When this relative and fugitive nature of happiness becomes apparent to us, we naturally give up running after it, to seek permanent peace in renunciation.]",253
20,"				तुङ्गं वेश्म सुता: सतामभिमता: संख्यातिगा: संपद:
					कल्याणी दयिता वयश्च नवमित्यज्ञानमूढो जन: ।
				मत्वा विश्वमनश्वरं निविशते संसारकारागृहे
					संदृश्य क्षणभङ्गुरं तदखिलं धन्यस्तु संन्यस्यति ।।२०।।
			20. Possessed of tall mansions, of sons esteemed by the learned, of untold wealth, of a beloved wife of beneficence, and of youthful age, and thinking this world to be permanent, men deluded by ignorance run into this prison-house of worldliness; whereas blessed indeed is he who, considering the impermanence of the same world, renounces it.",252
21,"				दीना दीनमुखै: सदैव शिशुकैराकृष्टजीर्णाम्बरा
					क्रोशद्भि: क्षुधितैनिर्रन्नविधुरा दृश्या न चेद्गेहिनी ।
				याञ्चाभङ्गभयेन गद्गदगलत्त्रुट्यद्विलीनाक्षरं
					को देहीति वदेत् स्वदग्धजठरस्यार्थे मनस्वी पुमान् ।।२१।।
			21. If one had an occasion to see one’s wife suffering without food and sore aggrieved at the constant sight of hungry crying children with piteous looks pulling at her worn-out clothes, what self-respecting man would for the mere sake of his own petty stomach utter ‘give me’ (i.e., become a supplicant for favour) in a voice faltering and sticking at the throat for fear of his prayer being refused?",152
22,"                                अभिमतमहामानग्रन्थिप्रभेदपटीयसी
                                        गुरुतर­गुणग्रामाम्भोज­स्फुटोज्ज्वलचन्द्रिका ।
                                विपुल­विलसल्लज्जावल्ली­वितानकुठारिका
                                        जठरपिठरी दुष्पूरेयं करोति विडम्बनम् ।।२२।।
                        22. The pit of our stomach so hard to fill is the root indeed of no small undoing: it is ingenious in severing the vital knots, as it were, of our fond self-respect; it is like the bright moonlight shining on the lotus (that species which blooms only in the sun) of highly estimable virtues; it is the hatchet that hews down the luxuriant creepers of our great modesty.",207
23,"				पुण्ये ग्रामे वने वा महति सितपटच्छन्नपालिं कपालिं
					ह्यादाय न्यायगर्भ­द्विजहुतहुत­भुग्धूमधूम्रोपकण्ठे ।
				द्वारं द्वारं प्रविष्टो वरमुदरदरीपूरणाय क्षुधार्तो
					मानी प्राणै: सनाथो न पुनरनुदिनं तुल्यकुल्येषु दीन: ।।२३।।
			23. For the sake of filling the cavity of the stomach when hungry, a man of self-respect would wander from door to door with an earthen begging bowl (in hand) having its edge covered with white cloth, away in extensive woodlands or holy places, the outskirts of which are grey all over with the smoke of sacrificial fires tended by Brāhmanas versed in ritualistic niceties, and thus preserve the prāṇas, rather than live (like) a beggar from day to day among those who are socially equals.
			[It should be remembered that living on alms for a man of true renunciation is held in high esteem in India, for no social merit can be higher than giving up the world for the sake of the national ideal of spirituality.
			Woodlands—where recluses live.
			Covered, etc.—this seems to have been the custom, to prevent the food from being seen by passers-by.]",179
24,"				गङ्गातरङ्गकणशीकरशीतलानि
					विद्याधराध्युषितचारुशिलातलानि ।
				स्थानानि किं हिमवत: प्रलयं गतानि
					यत्सावमानपरपिण्डरता मनुष्या: ।।२४।।
			24. Ah! is it that those Himalayan solitudes, cooled by the spray of minute bits of Gaṅgā’s waves and abounding in beautiful rocky flats such as are the haunts of the Vidyādharas, are all engulfed in destruction, that men in disgrace hang on others for their maintenance?
			[कण and शीकर have much the same sense. For कण some read हिम, meaning cold.
			The Vidyādharas are unearthly beings with super-human skill in arts, specially music.]",238
25,"				किं कन्दा: कन्दरेभ्य: प्रलयमुपगता निर्झरा वा गिरिभ्य:
					प्रध्वस्ता वा तरुभ्य: सरसफलभृतो वल्कलिन्यश्च शाखा: ।
				वीक्ष्यन्ते यन्मुखानि प्रसभमपगतप्रश्रयाणां खलानां
					दु:खाप्तस्वल्पवित्तस्मय­पवनवशान्नतिर्तभ्रूलतानि ।।२५।।
			25. Or is it that herbs and roots have all disappeared from caves, and streams have gone away from hillsides, or that branches of trees bearing luscious fruits and yielding barks are all destroyed, that the faces of wretches, perfectly devoid of good breeding, are found to have their eyebrows dancing like creepers in the wind of an arrogance which their scanty earning eked out with hardship engenders in them?",184
26,"				पुण्यैर्मूलफलैस्तथा प्रणयिनीं वृत्तिं कुरुष्वाधुना
					भूशय्यां नवपल्लवैरकृपणैरुत्तिष्ठ यावो वनम् ।
				क्षुद्राणामविवेकमूढमनसां यत्रेश्वराणां सदा
					वित्तव्याधिविकारविह्वलगिरां नामापि न श्रूयते ।।२६।।
			26. Therefore, now, accepting fruits and roots, ordained as sacred, for the most enjoyable means of maintenance, and (so also) the earth (laid on) with verdant leafy twigs for your bed, oh, rise, let us repair to the forest, where even the name is not heard of the ignoble rich whose minds are stultified by indiscretion and whose speech is constantly delirious with the maladies of wealth.",181
27,"				फलं स्वेच्छालभ्यं प्रतिवनमखेदं क्षितिरुहां
					पय: स्थाने स्थाने शिशिरमधुरं पुण्यसरिताम् ।
				मृदुस्पर्शा शय्या सुललितलतापल्लवमयी
					सहन्ते सन्तापं तदपि धनिनां द्वारि कृपणा: ।।२७।।
			27. Though fruits from trees are easily obtainable at will in every forest, though there is cool refreshing drink in holy streams at various places and soft bed made of tender twigs and creepers, still (alas!) men aggrieved with lucre undergo sorrows at the doors of the rich.",281
28,"				ये वर्तन्ते धनपतिपुर: प्रार्थनादु:खभाजो
					ये चाल्पत्वं दधति विषयाक्षेपपर्याप्तबुद्धे: ।
				तेषामन्त:स्फुरितहसितं वासराणि स्मरेयं
					ध्यानच्छेदे शिखरिकुहरग्रावशय्यानिषण्ण: ।।२८।।
			28. Reposing on a bed of stone within a mountain cave, during intervals of meditation, (well) may I recollect with an inward smile the days of those afflicted through their petitions before the rich, or of those grown mean through their minds being content with seeking enjoyments.
[If this verse is read differently with वर्धन्ते for वर्तन्ते and वासराणां for वासराणि the idea becomes, in the words of Mr. Telang: ‘The suppliant of the rich thinks the days too long as he has to suffer the trouble of constant entreaties often unsuccessful; the person engaged in the pursuit of worldly objects thinks time too short; he has never enough of it to compass all his numerous ends. On the other hand the philosopher laughs at both for their delusions.’ In this case ये in lines 1 and 2 refer to days, and for पर्याप्त in line 2 we have to read पर्यस्त too.]",174
29,"				ये सन्तोषनिरन्तरप्रमुदितास्तेषां न भिन्ना मुदो
					ये त्वन्ये धनलुब्धसंकुलधियस्तेषां न तृष्णा हता ।
				इत्थं कस्य कृते कृत: स विधिना कीदृक्पदं संपदां
					स्वात्मन्येव समाप्तहेममहिमा मेरुर्न मे रोचते ।।२९।।
			29. The felicity of those, whom contentment un­ceasingly makes happy, is not interrupted, while cravings of those of greedy and confounded minds are never quenched. Such being the case, for whom did the Creator create the Meru, representing inconceivable wealth, but confining to itself the glorious potency of its gold? I would not covet it.
			[कस्य कृते कृत: etc.—The idea is that Meru, the (fabled) mountain of gold, serves no useful purpose to anybody, and so I would not go in for it (न मे रोचते): because those that are contented feel quite happy without possessing it, and those that hanker after wealth never feel satisfied howsoever big might be their acquisitions. स्वात्मन्येव समाप्तहेममहिमा—Its gold serves only to glorify itself, but not to satisfy the greedy.]
",314
30,"				भिक्षाहारमदैन्यमप्रतिसुखं भीतिच्छिदं सर्वतो
					दुर्मात्सर्यमदाभिमानमथनं दु:खौघविध्वंसनम् ।
				सर्वत्रान्वहमप्रयत्नसुलभं साधुप्रियं पावनं
					शम्भो: सत्रमवार्यमक्षयनिधिं शंसन्ति योगीश्वरा: ।।३०।।
			30. The great yogīs describe food which begging brings as follows: it does not humiliate (vide verse no. 23); it is an independent pleasure (i.e., not dependent on the pleasure of earning money, fulfilling social duty, etc.); it is in all respects free from any anxious fear (i.e., about one’s expenditure, foodstores, etc.); it destroys wicked pride, egotism and impatience; it eradicates the manifold evils of worldly existence; it is easily available anywhere any day without efforts; it is the beloved of the holy men; it is a purification by itself; it is like the inexhaustible feeding-house of Śiva, access to which none can prevent.",290
31,"				भोगे रोगभयं कुले च्युतिभयं वित्ते नृपालाद्भयं
					माने दैन्यभयं बले रिपुभयं रूपे जराया भयम् ।
				शास्त्रे वादिभयं गुणे खलभयं काये कृतान्ताद्भयं
					सर्वं वस्तु भयान्वितं भुवि नृणां वैराग्यमेवाभयम् ।।३१।।
			31. In enjoyment, there is the fear of disease; in social position, the fear of falling-off; in wealth, the fear of (hostile) kings; in honour, the fear of humiliation; in power, the fear of enemies; in beauty, the fear of old age; in scriptural erudition, the fear of opponents; in virtue, the fear of traducers; in body, the fear of death. All the things of this world pertaining to man are attended with fear; renunciation alone stands for fearlessness.",294
32,"				आक्रान्तं मरणेन जन्म जरसा चात्युज्ज्वलं यौवनं
					सन्तोषो धनलिप्सया शमसुखं प्रौढाङ्गनाविभ्रमै: ।
				लोकैर्मत्सरिभिर्गुणा वनभुवो व्यालैर्नृपा दुर्जनै-
					रस्थैर्येण विभूतयोऽप्युपहता ग्रस्तं न किं केन वा ।।३२।।
			32. Birth is preyed upon (lit. attacked) by death; brilliant youth by old age; contentment by greed; happiness of self-control by the wiles of gay women; virtues by jealousy of men; forest tracts by beasts of prey; kings by the wicked (in counsel); and powers even are vitiated by their evanescence; what on earth is not seized upon by something else?",197
33,"				आधिव्याधिशतैर्जनस्य विविधैरारोग्यमुन्मूल्यते
					लक्ष्मीर्यत्र पतन्ति तत्र विवृतद्वारा इव व्यापद: ।
				जातं जातमवश्यमाशु विवशं मृत्यु: करोत्यात्मसा-
		त्तत्किं तेन निरङ्कुशेन विधिना यन्निमिर्तं सुस्थिरम् ।।३३।।
			33. Health of men is destroyed (lit. rooted out) by hundreds of varied ailments of body and mind; wherever there is Lakshmī (the goddess of prosperity), there perils find an open access; death sure annexes to itself, rendering impotent very soon, whatever is born again and again. Then what is created as stable by the absolute Creator?",198
34,"				भोगास्तुङ्गतरङ्गभङ्गतरला: प्राणा: क्षणध्वंसिन:
					स्तोकान्येव दिनानि यौवनसुखस्फूतिर्: प्रियासु स्थिता ।
				तत्संसारमसारमेव निखिलं बुद्ध्वा बुधा बोधका
					लोकानुग्रहपेशलेन मनसा यत्न: समाधीयताम् ।।३४।।
			34. Enjoyments are unstable like the breaking of high billows, life is liable to speedy dissolution; the buoyancy of youthful happiness centred in our objects of love lasts for few days. Understanding that the whole world is unsubstantial, ye wise teachers of men with minds intent on benefiting mankind (by living exemplary lives), put forth your energies (for attaining the highest beatitude).
			[लोकानुग्रहपेशलेन मनसा—लोकानाम् of men अनुग्रहे for the benefit­ing (out of kindness) पेशलं attached. The sense is that out of sympathy for suffering mankind, you shall by your exemplary lives and your counsels show men the way to cross the ocean of saṁsāra (world).]",293
35,"				भोगा मेघवितानमध्य­विलसत्सौदामिनीचञ्चला
					आयुर्वायुविघट्टिताब्ज­पटलीलीनाम्बुवद्भङ्गुरम् ।
				लोला यौवनलालसास्तनु­भृतामित्याकलय्य द्रुतं
				योगे धैर्यसमाधिसिद्धसुलभे बुद्धिं विधद्ध्वं बुधा:।।३५।।
			35. Enjoyments of embodied beings are fleeting like the quick play of lightning within a mass of clouds; life is as insecure as a drop of water attached to the edge of a lotus-leaf and dispersed by the wind; the desires of youth are unsteady; realizing these quickly, let the wise firmly fix their minds in yoga, easily attainable by patience and equanimity.",178
36,"				आयु: कल्लोललोलं कतिपयदिवसस्थायिनी यौवनश्री-
					रर्था: संकल्पकल्पा घनसमयतडिद्विभ्रमा भोगपूगा: ।
				कण्ठाश्लेषोपगूढं तदपि च न चिरं यत्प्रियाभि: प्रणीतं
					ब्रह्मण्यासक्तचित्ता भवत भवभयाम्भोधिपारं तरीतुम् ।।३६।।
			36. Life is changing like a big wave, beauty of youth abides for a few days; earthly possessions are as transient as thought; the whole series of our enjoyments are like (occasional) flashes of lightning during the monsoons; the embrace round the neck given by our beloved ones lingers only for a while. To cross the ocean (of the fear) of the world, attach your mind to Brahman.
			[भवभय—the great fear of finding yourself bound by the world attended with so many afflictions and yet finding no way out of it.]",192
37,"				कृच्छ्रेणामेध्यमध्ये नियमिततनुभि: स्थीयते गर्भवासे
					कान्ताविश्लेषदु:खव्यतिकरविषमो यौवने चोपभोग: ।
				वामाक्षीणामवज्ञाविहसित­वसतिर्वृद्धभावोऽप्यसाधु:
					संसारे रे मनुष्या वदत यदि सुखं स्वल्पमप्यस्ति किंचित् ।।३७।।
			37. In the womb man lies within impure matter in discomfort with limbs cramped; in youth enjoyment is tainted with the intense suffering of mental distraction arising from separation from our beloved; even old age (is undesirable), being the object of contemptible laughter from women. (Then) oh men, say if there is a particle of happiness in the world.
			[The idea is that none of the stages of life, beginning from the embryo, are worth living, as they are attended with serious drawbacks.]",199
38,"				व्याघ्रीव तिष्ठति जरा परितर्जयन्ती
					रोगाश्च शत्रव इव प्रहरन्ति देहम् ।
				आयु: परिस्रवति भिन्नघटादिवाम्भो
					लोकस्तथाप्यहितमाचरतीति चित्रम् ।।३८।।
			38. Old age looms (ahead) frightening men like a tigress; (different) diseases afflict the (human) body like enemies; life is flowing away like water running out of a leaky vessel; still, how surprising is it, that man goes on doing wicked deeds!",332
39,"				भोगा भङ्गुरवृत्तयो बहुविधास्तैरेव चायं भव-
					स्तत्कस्येह कृते परिभ्रमत रे लोका: कृतं चेष्टितै: ।
				आशापाशशतोपशान्तिविशदं चेत: समाधीयतां
					कामोत्पत्तिवशात् स्वधामनि यदि श्रद्धेयमस्मद्वच: ।।३९।।
			39. Manifold and transitory in nature are the enjoy­ments and of such is this world made up. So what for would you wander about here, O men? Cease exerting yourselves (for them); and if you put faith in our word, on its Supreme Foundation (lit. abode) concentrate your mind, purified by quelling hope with its hundred meshes, and freed from its liability to create desire.
			[कामोत्पत्तिवशात् —(We accept this reading as found in the edition we translate from, but we do not follow the meaning given of it by the commentator Budhendra. He makes the expression qualify the verb ‘concentrate’, explaining काम as अनुराग, or love. His meaning thus becomes: swayed by the development of love or bhakti)—Literally, (turned) away from the sway (वश) of the rise of desires.
				Enjoyments are transitory individually and in­exhaustible collectively, so we are in a never-ending wild-goose chase which brings in turns stimulation and grief. Desire produces this terrible entanglement, and hope keeps it on. Therefore don’t exert yourself for these enjoyments, but, freeing your mind from hope and desire, set it high on its supreme goal. This is the argument.
			Another reading seems to be कामोच्छित्तिवश which means— ‘attainable by uprooting desires.’]",292
